Video ID,Título,Data de Publicação,Duração,Playlists
0aN9_BsZvKo,#05 Estudo “O Darma Tolo de um Idiota Vestido de Barro e Penas” de Dudjom Lingpa - Lama Padma Samten,2021-04-13T00:10:44Z,PT1H8M43S,
0apa0Sc3EFE,Retiro de Inverno - 2º Dia - Tarde | 20/07/2014,2014-07-20T20:29:43Z,PT1H51M51S,
0b3992AO96o,"A Iluminação da Sabedoria Primordial e Sutra do Coração | Retiro de Verão 2017 #4 (3º dia, manhã)",2017-02-23T15:09:13Z,PT2H3M10S,
0b7zkSlJZS4,2023 09 05 Estudo de Aprofundamento | “Lucidez Diante do Bardo da Morte” (Parte 2) #06,2023-08-21T14:54:45Z,PT2H11M26S,
0bDP3Xz0deY,#509 Prática de Prajnaparamita e Buda da Medicina | 03/09/2021,2021-09-03T23:08:26Z,PT1H5M30S,
0bImK8EaWJA,#24 Estudo “Sutra Surangama - O Sutra da Grande Coroa do Buda”  - Lama Padma Samten,2021-09-23T16:40:11Z,PT2H12M11S,
0eAfmxyhQ0M,"Retiro ""Ação no mundo como caminho de lucidez"" #8 | Bolhas de realidade e sabedoria primordial",2015-04-20T20:22:20Z,PT1H57M10S,
0ePLqmuSKMY,#1613 Puja Diário | 10/09/24,2024-09-11T11:01:16Z,PT56M31S,
0fKfqIN7zRM,#328 Prática Prajnaparamita e Buda da Medicina | 05/03/2021,2021-03-05T23:07:29Z,PT1H41S,
0g7QJ043esE,#21 Retiro de Verão | 2018,2018-02-17T23:58:06Z,PT1H31M46S,
0g9PmO5x9JI,#635 Prática de Prajnaparamita e Buda da Medicina | 04/01/22,2022-01-04T23:09:05Z,PT1H4M1S,
0gwjp0O4x-c,30/04/2024 - Palestra “Superação de nossas crises existenciais e emocionais” | CEBB Joinville,2024-04-11T12:56:40Z,PT1H42M51S,
0hOhrwDQm3Y,Palestra Mente Lúcida e Compassiva – Superando os Condicionamentos,2014-09-23T23:05:40Z,PT1H31M57S,
0i_uKO6t7hA,#1714 Puja Diário | 22/12/24,2024-12-23T11:35:05Z,PT1H2M51S,
0j4uE2RRAQE,"2022 05 08 - Retreat “View, Meditation and Action” - #12",2022-04-13T12:42:39Z,PT1H50M36S,
0jX6xNw3SNs,Sua Santidade Sakya Trizin no Brasil,2011-02-10T21:08:08Z,PT9M38S,
0k4M9rYTqyE,Os Benefícios da Prática do Altar - Alessandra Destro,2014-07-23T20:08:16Z,PT1H32M46S,
0lKHLE3ciWc,#1062 Puja e Ensinamento “Meditação - purificação do ambiente e dos elementos”  |  07/03/23,2023-03-08T01:02:48Z,PT2H39M21S,
0otuAjpQOIg,#1787 Puja Diário | 05/03/25,2025-03-06T11:53:27Z,PT1H37M30S,
0ptAvx2S1gI,6 A Mandala das 5 Sabedorias,2012-10-18T06:56:54Z,PT22M56S,
0qrD19Jegnw,#1133 Puja Diário | 17/05/23,2023-05-18T11:40:59Z,PT1H28M1S,
0sRMY7EQMMQ,#1703 Puja Diário | 11/12/24,2024-12-12T11:09:51Z,PT47M46S,
0sbwfUPIilg,#1275 Puja Diário | 07/10/23,2023-10-08T10:58:25Z,PT52M21S,
0t3b3_iQ9lE,"Retiro ""Como desenvolver confiança na lucidez"" #2 (manhã)",2014-09-06T15:36:04Z,PT2H7M5S,
0tOcTGSn2-g,#63 | Prática Prajnaparamita e Buda da Medicina | 14/06/2020,2020-06-15T00:52:16Z,PT1H56M56S,
